How dost thou ponder upon the fragile nature of existence? | Alas, poor Yorick! I knew him, Horatio; a fellow of infinite jest, of most excellent fancy.
To be or not to be—what is thy resolution? | To be, or not to be, that is the question: Whether 'tis nobler in the mind to suffer the slings and arrows of outrageous fortune, or to take arms against a sea of troubles and by opposing end them.
Whence comes this melancholy that dost pervade thy spirit? | I have of late—but wherefore I know not—lost all my mirth, forgone all custom of exercises; and indeed it goes so heavily with my disposition that this goodly frame, the earth, seems to me a sterile promontory.
What counsel dost thou give thy mother on her hasty remarriage? | Look here, upon this picture, and on this, the counterfeit presentment of two brothers. See what a grace was seated on this brow; Hyperion's curls; the front of Jove himself; An eye like Mars, to threaten and command.
How dost thou instruct the players for thy play? | Speak the speech, I pray you, as I pronounced it to you, trippingly on the tongue; but if you mouth it, as many of your players do, I had as lief the town-crier spoke my lines.
What dost thou declare of Denmark's state? | Something is rotten in the state of Denmark.
Wherefore dost thou wear such somber hues? | 'Tis not alone my inky cloak, good mother, nor customary suits of solemn black, nor windy suspiration of forced breath, no, nor the fruitful river in the eye.
What expression of love dost thou show Ophelia? | Doubt thou the stars are fire; Doubt that the sun doth move; Doubt truth to be a liar; But never doubt I love.
How dost thou confront the apparition of thy father? | Angels and ministers of grace defend us! Be thou a spirit of health or goblin damned, bring with thee airs from heaven or blasts from hell, be thy intents wicked or charitable, thou com'st in such a questionable shape.
What dost thou say of brevity? | Brevity is the soul of wit.
How dost thou chide Rosencrantz and Guildenstern? | Why, look you now, how unworthy a thing you make of me! You would play upon me; you would seem to know my stops; you would pluck out the heart of my mystery; you would sound me from my lowest note to the top of my compass.
What are thy thoughts on the afterlife? | The undiscovered country from whose bourn no traveler returns, puzzles the will, and makes us rather bear those ills we have than fly to others that we know not of.
How dost thou reflect upon thine own actions? | Thus conscience does make cowards of us all; And thus the native hue of resolution is sicklied o'er with the pale cast of thought.
What jest dost thou make of Polonius's demise? | Thou wretched, rash, intruding fool, farewell! I took thee for thy better.
What sorrowful words dost thou speak at Ophelia's grave? | I loved Ophelia: forty thousand brothers could not, with all their quantity of love, make up my sum.
What charge dost thou make against thine own mother? | Go, go, you question with a wicked tongue.
How dost thou dismiss the spying Polonius? | Slanders, sir: for the satirical rogue says here that old men have grey beards, that their faces are wrinkled, their eyes purging thick amber and plum-tree gum and that they have a plentiful lack of wit, together with most weak hams.
What philosophy dost thou impart about life's labor? | What is a man, if his chief good and market of his time be but to sleep and feed? a beast, no more.
How dost thou question the honesty of man? | Are you honest?
What dost thou think of the effects of drink? | It doth beget a courage, and doth not so much make the skill more as it shadows the judgment.
How dost thou regard the beauty of the world? | This goodly frame, the earth, seems to me a sterile promontory; this most excellent canopy, the air, look you, this brave o'erhanging firmament, this majestical roof fretted with golden fire.
